Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
iOS Inclusive Gender Question,Yes,https://analytics.amplitude.com/loseit/dashboard/450vu1o,NA,"July 6, 2021",Experiment%201f19a/ios-inclusive-gender-bayes.pdf,"iOSOnbInclusiveGender(7463.kpmo9gao)-inclusive
iOSOnbInclusiveGender(7463.kpmo9gao)-_default",No,"-10% in onboarding throughput, -10% in retention, -10% in % of users Premium w/in 72 hours",NA,Onboarding,"With 13.4.000, we'll move to offering inclusive genders in iOS onboarding.",No impact,Yes,Experiment%201f19a/ios-inclusive-gender.pdf,NA,Sarah Molhan,iOS,"1%	1603139
2%	400785
3%	178127
4%	100197
5%	64126
6%	44533
7%	32718
8%	25050
9%	19793
10%	16032",NA,NA,NA,"June 10, 2021 → June 27, 2021",Experiment%201f19a/IMG_19D7A72473F8-1.jpeg,Complete 2021,"Erin Webster-Shaller, Paul Apollo, Paige Martineau","June 3, 2021 → June 9, 2021","Treatment: Inclusive gender page where gender options are female, male, non-binary, and prefer not to say

Control: Old gender page where gender options are female & male",13.3.405,2acb3664-208d-4a09-a5e2-e7ba059138d3
iOS: Premiumitize Fixed & Adaptive Budgets for New Users,Yes,https://analytics.amplitude.com/loseit/dashboard/4z4qpv6,NA,"June 29, 2021",Experiment%201f19a/ios-premium-budgets-bayes.pdf,"iOSNonMifflinPremium(7463.kpmwaz4w)-premium
iOSNonMifflinPremium(7463.kpmwaz4w)-_default

Min userid: 42760320",No,"-10% in retention, -10% in % of users Premium w/in 72 hours, -10% in sale conversions",6/30/2021 — all new users with a budget above 4318000 will have Premium calorie budgets. All users with ids lower than that will have fixed & adaptive as free budgets.,"New User, Premium","What is the immediate action being taken when you move the card to ""Complete""?",No effect,No,Experiment%201f19a/ios-premium-budgets.pdf,NA,Sarah Molhan,iOS,"1%	1603139
2%	400785
3%	178127
4%	100197
5%	64126
6%	44533
7%	32718
8%	25050
9%	19793
10%	16032",NA,NA,NA,"June 7, 2021 → June 20, 2021",Experiment%201f19a/simulator_screenshot_2BC09ADA-6D90-49B4-AB20-C3E2C936E7D1.png,Complete 2021,"Patrick Rills, Steve Massaroni, Seung Kim, Whitney Klinkner","June 3, 2021 → June 9, 2021","Treatment
Fixed & Personalized Adaptive budgets are Premium budgets, and receive the same treatment on the Budget Selection page as the Weekender.

Control
No change — Fixed & Personalized Adaptive remain free budgets",13.3.300,f1a1d1d4-e5ca-4939-9ece-740a69c98d71
Social IAM Test (iOS),No,https://analytics.amplitude.com/loseit/dashboard/6fbn68u,NA,"July 19, 2021",Experiment%201f19a/social-iam-test-ios-bayes.pdf,"""iOSSocialIAM"":{""experiments"":[{""name"":""iOSSocIAM"",""weight"":50,""value"":true}],""value"":false,""revision"":""7458.kpfnm140""",No,Under what circumstances would the experiment be ended early?,NA,"IAM, Social",Removed this group from appman on 9/28,We hypothesize that sending these IAMs will increase % of app sessions that include a social session.,No,Experiment%201f19a/Social_IAM_Test_iOS.pdf,NA,"Emma MacDonald, Sarah Molhan",iOS,"percent_diff	gross bookings per person
1%	8289110
2%	2072278
3%	921013
4%	518070
5%	331565
6%	230254
7%	169166
8%	129518
9%	102336
10%	82892",NA,NA,NA,"June 2, 2021 → July 10, 2021",NA,Complete 2021,Brian Bouchard,"May 7, 2021 → June 2, 2021",Those in the treatment will receive 1 of 3 randomly chosen creative treatments recommending that they visit the Social tab with a button that deeplinks to Social.,13.3.200,b70bfe0f-0d02-4cdd-957b-58db970f0cf7
Social IAM Test (Android),Yes,https://analytics.amplitude.com/loseit/dashboard/5frbp16,NA,"July 8, 2021",NA,see comments,No,Under what circumstances would the experiment be ended early?,8/4/21,"IAM, Social",These were turned off for users on 8/4/21. Removed this group from appman on 9/28,We hypothesize that sending these IAMs will increase % of app sessions that include a social session.,No,Experiment%201f19a/Social_IAM_Test_Android.pdf,NA,"Emma MacDonald, Sarah Molhan",Android,"percent_diff	gross bookings per person
1%	9074574
2%	2268644
3%	1008287
4%	567162
5%	362984
6%	252072
7%	185196
8%	141791
9%	112033
10%	90747",NA,NA,NA,"May 20, 2021 → June 28, 2021",NA,Complete 2021,Mia Forte,"May 17, 2021 → May 19, 2021",Those in the treatment will receive 1 of 3 randomly chosen creative treatments recommending that they visit the Social tab with a button that deeplinks to Social.,13.3.001,4c2e869f-e4a2-44d6-b14c-dffc928b0d52
iOS Appman Remote Creative,Yes,https://analytics.amplitude.com/loseit/dashboard/457az15,NA,"July 15, 2021",Experiment%201f19a/ios_appman_remote_creative_bayes.pdf,"iOSAMRemoteCreative(7435.koimrm20)-amRemote
iOSAMRemoteCreative(7435.koimrm20)-_default",No,-10% in conversion rate; +15% in conversion rate,Dunno— sorry. It was moved before 8/10/21 though.,Appman,"we moved to the treatment, putting everyone on remote creative.",Sarah guess: no impact,Yes,Experiment%201f19a/ios_appman_remote_creative.pdf,NA,Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person	Sample Size PER COHORT
1%	6439282
2%	1609821
3%	715477
4%	402456
5%	257572
6%	178870
7%	131415
8%	100615
9%	79498
10%	64394",NA,NA,NA,"May 13, 2021 → July 12, 2021",NA,Complete 2021,"Paul Apollo, Erin Webster-Shaller","May 6, 2021 → May 12, 2021","Treatment: creative assets for appman are not downloaded with the app. They're downloaded as needed from s3, like we do on Android. If the device can't connect to s3, there is generic copy that we use for each of the appman campaigns instead. 

Control: Creative assets are downloaded with the app. 
",13.2.700,26845f7a-6600-4028-885a-c41a2ff0250d
Android: Show Premium Log Features,Yes,https://analytics.amplitude.com/loseit/dashboard/i3jrzat,NA,"June 30, 2021","Experiment%201f19a/android-prem-log-nonnew-users-bayes.pdf, Experiment%201f19a/android-prem-log-bayes.pdf","AndPremiumLogPromo3(7425.ko4fzdz4)-treatment
AndPremiumLogPromo3(7425.ko4fzdz4)-_default",No,-10% in conversion or bookings; +15% in conversion or bookings,NA,"NewPromo, UI Changes","We should move forward and turn this up to 100%, but only for users who are Premium, or who are free and 3+ days old.","Adding log card promos will helps free users realize they should upgrade to get custom meals and notes, and will remind premium users that they have access to custom meals and notes, both of which will increase use of these feature and drive more purchases from Free users.",No,"Experiment%201f19a/android-prem-log-rerun.pdf, Experiment%201f19a/android-prem-log-nonnew-users.pdf, Experiment%201f19a/android-prem-log.pdf",https://www.notion.so/Android-Strong-Start-Badge-Log-Card-c3e284428c8943b9a303399ddc7e5e59,"Sarah Molhan, Seung Kim",Android,"Minimum Percent Change Detectable,Size Per Cohort
1%,10188924
2%,2547232
3%,1132104
4%,636809
5%,407558
6%,283027
7%,207938
8%,159203
9%,125790
10%,101890",NA,NA,NA,"May 13, 2021 → June 20, 2021",NA,Complete 2021,"Sarah Molhan, Paige Martineau, Patrick Rills, Paul Apollo, Erin Webster-Shaller","May 13, 2021 → May 16, 2021","Treatment: Contextual log card promos for Morning Snack, Notes and Automatic tracking. (All Users)
Control: The normal log screen experience. (All Users)",13.3.000,ba4c08ed-661f-4875-a482-9586645c92a6
Premium Onboarding Email Series V1,Yes,https://analytics.amplitude.com/loseit/dashboard/2c1mehp,NA,NA,Experiment%201f19a/premium-onboarding-v1-bayes.pdf,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,Under what circumstances would the experiment be ended early?,NA,"Email, Engagement, Onboarding, Premium",All new users will see the treatment email series,Users in the treatment will be more engaged. For trial users that get the premium onboarding series we expect to see a boost in conversion rates.,Yes,Experiment%201f19a/premium-onboarding-v1.pdf,NA,"Paige Martineau, Katie Bourdon, Erin Webster-Shaller","Email, Iterable","Minimum Detectable Percent Change,Sample Size Per Cohort
1%,973888
2%,243473
3%,108211
4%,60869
5%,38956
6%,27053
7%,19876
8%,15218
9%,12024
10%,9740",NA,NA,NA,"May 5, 2021 → June 7, 2021",NA,Complete 2021,"Sarah Molhan, Danielle Goryl",NA,Premium users in the treatment will receive a 3 series email onboarding experience (both trial and conversion users),Min version # treatment is available in — 11.5.800,0a30ce95-7502-475d-a180-a88695978281
iOS: Premium Log Cards,Yes,https://analytics.amplitude.com/loseit/dashboard/r6u3vi6,NA,"May 26, 2021","Experiment%201f19a/ios_premium_log_cards_exclude_new_bayes.pdf, Experiment%201f19a/ios_premium_log_cards_bayes.pdf","iOSLogPromosV2(7429.koa2h62o)-promos
iOSLogPromosV2(7429.koa2h62o)-_default",No,Under what circumstances would the experiment be ended early?,13.3.405 shows these log cards to users who are 3 or more days old.,"NewPromo, UI Changes","We will put this on for 100% of users who are 3 or more days old. Do not show log cards to users who on days 0,1, or 2.","Adding log card promos will helps free users realize they should upgrade to get custom meals and notes, and will remind premium users that they have access to custom meals and notes, both of which will increase use of these feature and drive more purchases from Free users. 

Increase in bookings",Yes,"Experiment%201f19a/ios_log_card_longrun_with_trials_nhst.pdf, Experiment%201f19a/ios_premium_log_cards_rerun.pdf, Experiment%201f19a/ios_premium_log_cards_exclude_new-rerun.pdf, Experiment%201f19a/ios_premium_log_cards_exclude_new.pdf, Experiment%201f19a/ios_premium_log_cards.pdf",NA,"Katie Bourdon, Sarah Molhan",iOS,"Smallest Detectable Change in Gross Bookings per Person	Sample Size PER COHORT
1%	6439282
2%	1609821
3%	715477
4%	402456
5%	257572
6%	178870
7%	131415
8%	100615
9%	79498
10%	64394",NA,NA,NA,"May 4, 2021 → May 17, 2021",NA,Analysis,"Sarah Molhan, Paige Martineau, Patrick Rills, Paul Apollo, Erin Webster-Shaller","April 29, 2021 → May 3, 2021","Treatment: Contextual log card promos for Morning Snack, Notes and Automatic tracking. (All Users)
Control: The normal log screen experience. (All Users)",NA,88516060-82de-4d52-be4d-36aefaef1f0e
iOS: Auto-Plan,No,https://analytics.amplitude.com/loseit/dashboard/t3oyyrw,NA,"May 21, 2021",Experiment%201f19a/ios_autoplan_bayes.pdf,"iOSOnbNoPlan(7418.knupjvso)-onbNP
iOSOnbNoPlan(7418.knupjvso)-_default",No,-10% in day 2 retention,NA,New User,"What is the immediate action being taken when you move the card to ""Complete""?",Increase in day 2 retention,No,Experiment%201f19a/ios_autoplan.pdf,https://www.notion.so/iOS-Extreme-Onboarding-15f844c1c4054751a04b7491a06f67b4,"Sarah Molhan, Seung Kim",iOS,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	5.67
5%	2.04
7%	1.04
10%	0.51",NA,NA,NA,"April 29, 2021 → May 12, 2021",NA,Complete 2021,"Steve Massaroni, Patrick Rills, Seung Kim","April 22, 2021 → April 28, 2021","Treatment: Users do not select their plan, but are automatically placed on what will be a sustainable (somewhat ""easy"") plan. Treatment users skip the plan selection page. 

Control: Users select their plan",13.2.600,db5eea49-0dff-4e09-9496-2bdbdf5035fb
Android Extreme Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/sviatsr,NA,"May 27, 2021",Experiment%201f19a/android_extreme_onboarding_bayes.pdf,AndExtremeOnb(7418.knupn52w)-,No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",13.3.300,Onboarding,100% extreme Android as of 13.3.300,Extreme onboarding will further help with bookings without hurting 2 day retention.,Yes,Experiment%201f19a/android_extreme_onboarding.pdf,NA,Sarah Molhan,Android,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3% 7.49
5% 2.7
7% 1.38
10% 0.67",NA,NA,NA,"April 29, 2021 → May 18, 2021",Experiment%201f19a/stepsDoneExtremeAnd.png,Complete 2021,"Paul Apollo, Dave Gedarovich, Seung Kim","April 22, 2021 → April 28, 2021","Treatment: Onboarding flow is 40% longer, and has a new ""Environment"" section
Control: original ""Longest Onboarding""",13.2.600  50%,454ad7a0-f08f-46b4-9014-98faa9d5629e
⚠️ Android Long Reactivation Onboarding — take 1; had potential issues ⚠️,Yes,https://analytics.amplitude.com/loseit/dashboard/y3ldr2e,NA,"June 16, 2021",Experiment%201f19a/android-long-reactivation-onboarding-bayes.pdf,"AndReactOnb(7421.knyt3i5s)-treatment
AndReactOnb(7421.knyt3i5s)-_default",No,"Failure: -10% in % users prem w/in 1 day of reactivation
Success: +15% in bookings from users who have had time for trials to convert (1 week of users minimum)",6/16/21,Reactivation,"Off, 6/16/21 — issues; planned pitch to follow up.",Bookings will increase,No,"Experiment%201f19a/android-long-reactivation-onboarding-rerun.pdf, Experiment%201f19a/android-long-reactivation-onboarding.pdf",NA,Sarah Molhan,iOS,"Minimum Percent Change Detectable	Size Per Cohort	Total Weeks at ~32,000/week
1%	6619779	402.42
2%	1654945	100.6
3%	735532	44.71
4%	413737	25.15
5%	264792	16.1
6%	183884	11.18
7%	135098	8.21
8%	103435	6.29
9%	81727	4.97
10%	66199	4.02",NA,NA,NA,"April 26, 2021 → June 7, 2021",Experiment%201f19a/Screenshot_20210414-143540.png,Complete 2021,Katie Bourdon,"April 22, 2021 → April 25, 2021","Treatment: Survey Gurl questions show in the middle of the current reactivation onboarding flow. 
Control: just see the standard flow

[[ Welcome Back ]]
[[ Update your Plan. ]] OR [[ Make your new plan ]]
<< SG Survey If Treatment >>
[[ Your plan is ready ]]
[[ Trial ]]",13.2.500,3687d763-0d74-45ce-a5b0-b9b2dccfc72a
iOS Extreme Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/wipf9zh,NA,"May 17, 2021",Experiment%201f19a/ios-extreme-onboarding-bayes.pdf,"iOSXtreme2(7410.knj2f6w8)-iOSXtreme2
iOSXtreme2(7410.knj2f6w8)-_default",No,"-10% in day 2 retention, bookings, -10% in % of users on premium (trial or not) within 72h of onboarding.",NA,Onboarding,Extreme was control as of 13.3.200,Extreme onboarding will further help with bookings without hurting 2 day retention.,Yes,"Experiment%201f19a/ios-extreme-onboarding.pdf, Experiment%201f19a/ios_extreme_ltv.pdf",NA,Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	5.67
5%	2.04
7%	1.04
10%	0.51",NA,NA,NA,"April 22, 2021 → May 8, 2021",Experiment%201f19a/stepsDoneExtremeIOS.png,Complete 2021,"Paul Apollo, Steve Massaroni, Seung Kim","April 15, 2021 → April 21, 2021","Treatment: Onboarding flow is 40% longer, and has a new ""Environment"" section
Control: original ""Longest Onboarding""",13.2.500,536c3c43-e7a5-47ef-9be1-d1390abb465b
iOS Removing Premium Content,No,https://analytics.amplitude.com/loseit/dashboard/u3mvfm7,NA,"June 4, 2021",Experiment%201f19a/ios-removing-prem-content-bayes.pdf,"iOSHowMkt(7414.knoodeio)-noHow
iOSHowMkt(7414.knoodeio)-_default",No,Under what circumstances would the experiment be ended early?,6/16/21 — exp on to 100%. Free users no longer seeing prem guides.,"Premium, UI Changes",Putting this experiment at 100%. Working on a plan to remove premium content from the app entirely. https://loseit.slack.com/archives/C025G9K56HJ/p1623875166005900,Removing premium content from the app won't hurt bookings,Yes,Experiment%201f19a/ios-removing-prem-content.pdf,NA,"Katie Bourdon, Sarah Molhan",iOS,"Smallest Detectable Change in Gross Bookings per Person	Sample Size PER COHORT
1%	6439282
2%	1609821
3%	715477
4%	402456
5%	257572
6%	178870
7%	131415
8%	100615
9%	79498
10%	64394",NA,NA,NA,"April 19, 2021 → June 6, 2021","Experiment%201f19a/Image_from_iOS.png, Experiment%201f19a/Image_from_iOS_(1).png",Complete 2021,Paige Martineau,"April 13, 2021 → April 19, 2021","Removing Premium Guides in Profile, Premium Content mentioned on buy page for all free users. Premium users still see them.",13.3.200,0291267e-fcb5-40e7-9c9f-20e013de0986
iOS Personalized Adaptive Efficacy Experiment,Yes,https://analytics.amplitude.com/loseit/dashboard/ltzs98g,NA,"August 17, 2021",NA,"iOSOnbNoGender(7407.knemhjfk)-onbNG
iOSOnbNoGender(7407.knemhjfk)-_default",No,"-10% in day 2 retention, -10% in percent of users premium by day 3, -10% in record weight frequency",Turned off 5/24 for 13.3.200,New User,We won't assign people to thus budget automatically,No differences in retention or bookings; we're hoping to see a long-term improvement in weight loss by the treatment,No,"Experiment%201f19a/ios-adaptive-budget-weightloss-supplement-engaged-users.pdf, Experiment%201f19a/ios-adaptive-budget-engaged-users.pdf, Experiment%201f19a/ios-adaptive-budget-weightloss-supplement.pdf, Experiment%201f19a/ios-adaptive-budget.pdf",NA,Sarah Molhan,iOS,"Minimum Percent Change Detectable// Size Per Cohort
1%	1310609
2%	327653
3%	145624
4%	81914
5%	52425
6%	36407
7%	26748
8%	20479
9%	16181
10%	13107

Needs 2-month run off from time of last new user",NA,NA,NA,"April 14, 2021 → May 26, 2021",Experiment%201f19a/IMG_4210.png,Complete 2021,"Steve Massaroni, Patrick Rills, Taylor Smyrnos, Robert Mohr, Seung Kim",NA,"Control: See gender question, get mifflin budget
Treatment: Skip gender question, get https://help.loseit.com/hc/en-us/articles/360058151273-Personalized-Adaptive-Budget

We're going to run this experiment for a long time to test the efficacy of the adaptive budget.",13.2.200,7c109117-5963-4256-99ab-308a5493b2ce
iOS 24 Hour Countdown Timer Test,No,https://analytics.amplitude.com/loseit/dashboard/zctj3hg,NA,"May 5, 2021",Experiment%201f19a/ios_24hour_countdown_timer-bayes.pdf,"iOSCountdownTimer(7400.kn4qb0bk)-cntdwn
iOSCountdownTimer(7400.kn4qb0bk)-_default",No,Under what circumstances would the experiment be ended early?,NA,"IAM, New User","What is the immediate action being taken when you move the card to ""Complete""?",Shortening the countdown timer will add a sense of urgency resulting in higher conversion rates,NA,Experiment%201f19a/ios_24hour_countdown_timer.pdf,NA,"Katie Bourdon, Danielle Goryl, Erin Webster-Shaller",iOS,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	7.49
5%	2.7
7%	1.38
10%	0.67",NA,NA,NA,"April 8, 2021 → May 2, 2021",NA,Complete 2021,Paige Martineau,"April 5, 2021 → April 7, 2021","Treatment: Countdown timer for first sale is 24 hours
Control: Countdown timer for first sale is 72 hours",13.2.200,22ee3c97-9eec-42f0-93fd-a6c80a9dc9d7
iOS Long Reactivation Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/5op6fwi,NA,"April 23, 2021",Experiment%201f19a/ios-long-reactivation-onboarding-bayes.pdf,"iOSReactOnbSurvey(7393.kmuo8128)-surveyOn
iOSReactOnbSurvey(7393.kmuo8128)-_default",No,-10% in % users prem w/in 1 day of reactivation,Bumped to 100% on 4/14,Reactivation,Bumped to 100% on 4/14,Bookings will increase,Yes,"Experiment%201f19a/ios-long-reactivation-onboarding-rerun.pdf, Experiment%201f19a/ios-long-reactivation-onboarding.pdf",NA,Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person//Number of Weeks for a Two Group Test

4%	7.28
5%	4.66
6%	3.23
7%	2.38
10%	1.16",NA,NA,NA,"March 29, 2021 → April 14, 2021",Experiment%201f19a/Screen_Shot_2021-03-19_at_2.46.42_PM.png,Complete 2021,Katie Bourdon,"March 25, 2021 → March 28, 2021","Treatment: Survey Gurl questions show in the middle of the current reactivation onboarding flow. 
Control: just see the standard flow

[[ Welcome Back ]]
[[ Update your Plan. ]] OR [[ Make your new plan ]]
<< SG Survey If Treatment >>
[[ Your plan is ready ]]
[[ Trial ]]",13.2.100,52a7cb18-fba9-44f3-875e-4375a639ef5e
Android Strong Start Badge Log Card,Yes,https://analytics.amplitude.com/loseit/dashboard/vevkfgk,NA,"April 27, 2021",Experiment%201f19a/android-strong-start-bayes.pdf,"AndStrongStart4(7393.kmuohz34)-StrongStart
AndStrongStart4(7393.kmuohz34)-_default",No,NA,4/27,New User,Strong start log card on for everyone on 4/27. Dave’s putting something in 13.2.700 android to silently give the strong start badge to everyone who would have historically earned it.,I expect this to increase day 1 retention. Would be great if it pulls over to day 2 too. Neutral or positive on bookings.,No,Experiment%201f19a/android-strong-start.pdf,"https://www.notion.so/Android-In-app-trial-offer-ca3bf512123e4037b13be4c3e51fd3c7, https://www.notion.so/Android-Tutorial-Copy-Update-60b0d9669edd41b982da3a652c9c4789, https://www.notion.so/Android-Show-Premium-Log-Features-c69abfd549d7498a81dceda9638b02a6",Sarah Molhan,Android,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3% 7.49
5% 2.7
7% 1.38
10% 0.67",https://www.notion.so/Strong-Start-Badge-Log-Card-63c968520d164bd0a3628c8971dc4b94,NA,NA,"March 29, 2021 → April 18, 2021",NA,Complete 2021,"Dave Gedarovich, Seung Kim","March 24, 2021 → March 28, 2021","Treatment: New card is added to the log, above breakfast! This card encourages users to log breakfast, lunch and dinner on day 0 in order to earn the Strong Start badge. This card is only visible on the day a user creates an account. Once the badge is earned, there's confetti and it's great. 

Control: no card. No confetti.",13.2.100,94c85053-4f1a-4ae5-85d1-ee1cac6bc707
Android New Onboarding Flow,Yes,https://analytics.amplitude.com/loseit/dashboard/63d7bpj,NA,"April 23, 2021",Experiment%201f19a/android-new-user-onboarding-flow-bayes.pdf,"AndLongPremCustom(7383.kmgo2jw0)-LongPremCustom // survey-name = AndLongestPremCust
AndLongPremCustom(7383.kmgo2jw0)-_default // survey-name = AndroidFullSurveyGurlOnboardingFeb2021",No,NA,13.2.500 — experiment switched to test this new flow against extreme onboarding.,"Onboarding, Trial","New onboarding flow became the new ""control"" for future onboarding experiments on android",increase in bookings; even on day 2 retention,Yes,Experiment%201f19a/android-new-user-onboarding-flow.pdf,NA,Sarah Molhan,Android,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3% 7.49
5% 2.7
7% 1.38
10% 0.67",NA,NA,NA,"March 25, 2021 → April 14, 2021",NA,Complete 2021,"Seung Kim, Alex Wilson, Rohil Javeri","March 18, 2021 → March 24, 2021","Treatment: The new onboarding flow merges the longest onboarding with premium customization flow. Users will see the map, with detailed questions asked in the middle of a lot of other questions. The questions will culminate in the Premium Customization feature recommendations, premium customization trial page, and the loss aversion trial page. 

Control: Users will see the details form, goal & plan form, standard questions, standard trial page.",13.2.100 50%,92ada60a-5037-41da-84d7-ae1240de3831
iOS New Onboarding Flow,Yes,https://analytics.amplitude.com/loseit/dashboard/7is2ler,NA,"April 9, 2021",Experiment%201f19a/ios-new-onboarding-flow-bayes.pdf,"iOSLongTrial(7374.km3l8zh4)-prem // survey iOSLongestPremCustForDynamicDiscount
iOSLongTrial(7374.km3l8zh4)-_default // survey iOSLongestDynamicDiscount",No,"-10% in day 2 retention, -10% in % of users on premium (trial or not) within 72h of onboarding.",Off in 13.2.300,"New User, Onboarding",Reverted to Longest Onboarding,The treatment will increase trial take rate and have no impact on onboarding throughput or retention.,No,Experiment%201f19a/ios_new-onboarding-flow.pdf,NA,Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	5.67
5%	2.04
7%	1.04
10%	0.51",NA,NA,NA,"March 25, 2021 → March 31, 2021",NA,Complete 2021,"Rohil Javeri, Sarah Molhan, Seung Kim","March 5, 2021 → March 11, 2021","Treatment: New onboarding that merges Longest Onboarding with Premium customization, while supporting the fields needed for dynamic discounting. Onboarding survey is called ""iOSLongestPremCustForDynamicDiscount"" 

Control: Longest Onboarding + fields for dynamic discounting — Onboarding survey is called ""iOSLongestDynamicDiscount""",13.2.100 — 50%,f756b3be-428c-478f-a125-84b9501fdef6
Android 24 Hour Countdown Timer Test,Yes,https://analytics.amplitude.com/loseit/dashboard/vijgv5m,NA,"April 22, 2021",Experiment%201f19a/android_24_hour_countdown_timer-bayes.pdf,"Control: AndNewUser24Countdown(7387.kmmfx5cg)-_default
Treatment: AndNewUser24Countdown(7387.kmmfx5cg)-NewUser24Countdown",No,Under what circumstances would the experiment be ended early?,NA,"IAM, New User","What is the immediate action being taken when you move the card to ""Complete""?",Shortening the countdown timer will add a sense of urgency resulting in higher conversion rates,NA,Experiment%201f19a/android_24_hour_countdown_timer.pdf,NA,"Katie Bourdon, Danielle Goryl, Erin Webster-Shaller",Android,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	7.49
5%	2.7
7%	1.38
10%	0.67",NA,NA,NA,"March 23, 2021 → April 21, 2021",Experiment%201f19a/2.png,Complete 2021,Paige Martineau,"March 18, 2021 → March 23, 2021",24 hour Countdown Timer,13.1.200,9b79479c-3a66-4fad-9b95-96d7ad4e7a18
iOS Strong Start Badge Log Card,Yes,https://analytics.amplitude.com/loseit/dashboard/ko53yg0,NA,"April 19, 2021",Experiment%201f19a/ios-strong-start-rerun-bayes.pdf,"iOSStrongBadge(7380.kmcgq554)-badge
iOSStrongBadge(7380.kmcgq554)-_default",Yes,"-10% in sale purchase, -10% in dinner logging on day 1, -10% in day 1 retention",4/20/21,New User,we turned this down to 0% on 4/20/21,I expect this to increase day 1 retention. Would be great if it pulls over to day 2 too. Neutral or positive on bookings.,No,Experiment%201f19a/ios-strong-start-rerun.pdf,"https://www.notion.so/iOS-In-app-trial-offer-181ed6f705234b309ccc539d6051d1f7, https://www.notion.so/iOS-Tutorial-Copy-Update-801e48ed6089415a8a2d3a94378bf290",Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	5.67
5%	2.04
7%	1.04
10%	0.51",https://www.notion.so/Strong-Start-Badge-Log-Card-63c968520d164bd0a3628c8971dc4b94,NA,NA,"March 16, 2021 → April 10, 2021","Experiment%201f19a/IMG_3433.png, Experiment%201f19a/IMG_3432.png, Experiment%201f19a/IMG_3431.png",Complete 2021,Seung Kim,"March 13, 2021 → March 16, 2021","Treatment: New card is added to the log, above breakfast! This card encourages users to log breakfast, lunch and dinner on day 0 in order to earn the Strong Start badge. This card is only visible on the day a user creates an account. Once the badge is earned, there's confetti and it's great. 

Control: no card. No confetti.",13.1.700,52d83f66-eab2-4fc0-8796-ea4236e6402b
In App Sale Campaign Creative Test,Yes,NA,NA,NA,NA,NA,No,NA,NA,"IAM, Premium",NA,Results from January in-app campaigns showed statistically significant creative variant winners. This experiment is to pull creative concepts from January learnings and launch new creative variants in our sale in app campaign. The team will periodically running them through the Markov model; the two main goals of this work are: 1)Move away from the creative we have been running for ~1 year. 2) Test more concepts to guide creative direction for the next year.,NA,Experiment%201f19a/campaign_attribution.csv,NA,"Katie Bourdon, Erin Webster-Shaller",iOS,NA,NA,NA,NA,"March 11, 2021 → April 26, 2021",NA,Complete 2021,"Danielle Goryl, Priyanka Gagneja, Will TheThrillest, Erin Webster-Shaller, Paul Apollo","March 4, 2021 → March 5, 2021","3 creative themes, 2 variants for each theme, total of 6 variant.",NA,5074cfac-db05-476a-90f7-ccd3de0d466d
